"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Aeternum AE-D_6 Plastic, Polypropylene, Polyethylene Terephthalate Water Bottle, 1L, Set of 6, Transparent","B093WYQ1MR","Aeternum","₹549.00","1,660","911,340.00","5,144","₹204.31",3,4.5,94,7,56,"n/a","Home & Kitchen","Standard-Oversize","MFN","4.3x8.7x3.1",1.08,"4/30/2021"
"Ankaret Stainless Steel Water Bottle 1L, Black, Sipper Cap, 1 (Set of 1)","B08LQJYDWV","Ankaret","₹398.00","1,134","451,332.00",982,"₹177.91",1,4.2,510,6,111,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.4x11.6x3.3",0.57,"10/23/2020"
"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted","B07CRN4M43","Cello","₹419.00","4,574","1,911,932.00",277,"₹220.74",4,4.4,4952,5,428,"n/a","Home & Kitchen","Standard-Oversize","FBA","9.3x12.2x3.6",0.79,"4/30/2018"
"TARSARIA 121 Plastic Water Bottle, 1000ml, Pack of 6, Transparent","B096QSBP2K","TARSARIA","₹499.00",266,"132,734.00","8,889","n/a",1,5.0,1,5,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/6/2021"
"Milton Steel Convey 900 Insulated Inner Steel Water Bottle, 630 ml, Black","B094Y6XR1P","MILTON","₹331.00",329,"108,899.00","3,321","₹130.41",1,4.5,2,6,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","0.4x0.4x0.4",0.02,"5/14/2021"
"Cello Puro Steel-X Benz Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)","B07TK1Y6H3","Cello","₹478.00","4,096","1,957,888.00",948,"₹176.96",6,3.9,1462,9,"-2,239","n/a","Home & Kitchen","Standard-Oversize","FBA","3.5x11.0x3.2",0.04,"6/24/2019"
"($) Pokory Stainless Steel Bottle, 300 ml, Pack of 2, Pink","B08KWK2YBQ","Pokory","₹1,349.00","n/a","n/a","129,102","n/a",1,5.0,3,"n/a",0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","10/8/2020"
"($) Pokory Insulated Stainless Steel Bottle Gold 320 ml Pack of 2 with Bunny Shaped Cap Design for Water Juice Milk |Hot & Cold Thermoware Bottles for Kids Girls Boys Men Women Office School Daily use","B08KWJWYLF","Pokory","₹1,399.00","n/a","n/a","518,586","n/a",2,"n/a","n/a","n/a",0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","10/8/2020"
"($) Cello Puro Steel-X Benz Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)","B07TK1Y6H3","Cello","₹478.00","4,096","1,957,888.00",948,"₹176.96",6,3.9,1462,9,"-2,239","n/a","Home & Kitchen","Standard-Oversize","FBA","3.5x11.0x3.2",0.04,"6/24/2019"
"($) Cello Puro Sports Bottle Set, 900ml, Set of 2, Assorted","B07CM5DDTH","Cello","₹269.00",883,"237,527.00","1,803","₹179.89",12,4.0,1469,6,101,"n/a","Home & Kitchen","Standard-Oversize","FBA","6.9x14.4x3.4",0.77,"4/23/2018"
"Milton Hawk 750 Stainless Steel Water Bottle, 750 ml, Pink,Set of 1","B079RT1CD4","MILTON","₹282.00","2,597","732,354.00",592,"₹121.66",4,4.1,4728,8,387,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.0x10.2x3.0",0.51,"1/10/2018"
"Cello Venice Exclusive Edition Plastic Water Bottle Set, 1 Litre, Set of 3, Clear","B07H2K22ND","Cello","₹324.00","2,516","815,184.00",716,"₹179.67",2,4.3,4055,6,461,"n/a","Home & Kitchen","Standard-Oversize","FBA","8.3x11.4x2.8",0.79,"9/3/2018"
"Incrizma Personalized/Custom Engraved Stainless Steel, Single Walled Fridge and Sports Water Bottle | Employee/Staff Appreciation/Recognition Gift - 1000 ml","B07YDVX7XS","Incrizma","₹599.00",169,"101,231.00","24,213","₹180.41",1,4.3,345,4,29,"n/a","Home & Kitchen","n/a","FBA","n/a",0.50,"9/25/2019"
"FIMBRIA water bottles 1 litre set of 6, bottles for fridge, Transparent, 1000 ml","B09737VNLZ","FIMBRIA","₹499.00",327,"163,173.00",856,"₹179.82",1,4.7,10,4,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.5x5.1x3.5",0.99,"2/4/2021"
"Steelo Selina Plastic Water Bottle, 1 Litre, Set of 4, Multicolour","B0796V3CWV","Steelo","₹575.00",809,"465,175.00","1,809","₹263.29",3,4.3,1482,4,187,"n/a","Home & Kitchen","Standard-Oversize","FBA","7.0x12.8x6.9",1.70,"1/21/2018"
"Cello Infuse Plastic Water Bottle, 800 ml, Black,Set of 1","B08216FKZM","Cello","₹191.00","1,488","284,208.00",908,"₹122.19",4,4.2,3200,6,214,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.1x9.5x3.0",0.35,"11/26/2019"
"MINISO Glass Water Bottle with Lid, 500ml, Pink","B094HTD674","MINISO","₹350.00",345,"120,750.00","3,515","n/a",1,4.1,7,1,1,"n/a","Home & Kitchen","n/a","FBA","1.4x3.9x1.4","n/a","5/10/2021"
