"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"BINDALS Copier Paper by Ashish Groups | A4 Size | 500 sheets | 70 GSM | Fine Quality (1 Ream)","B07VN4H2PV","BINDALS","₹193.00",101,"19,493.00",574,"₹216.46",7,4.0,42,3,17,"n/a","Office Products","Standard-Oversize","MFN","8.5x11.8x2.1",4.98,"7/22/2019"
"ITC Copier Paper - A4, 500 Sheets, 70 Gsm (1 Ream / 500 Sheets)","B08NYCS485","ITC","₹255.00",53,"13,515.00","6,088","₹206.97",2,4.1,32,4,10,"n/a","Office Products","Standard-Oversize","MFN","8.3x11.6x2.0",4.85,"11/21/2020"
"Pages A4 paper 100 Sheets 80 GSM Print Copy Scan White sheet For printer pack of 100","B096KX4SWX","Pages","₹252.00",60,"15,120.00","1,044","₹150.05",1,5.0,2,6,1,"n/a","Office Products","Standard-Oversize","FBA","7.5x9.4x0.4",0.99,"6/3/2021"
"UD sales NR Copier 70 GSM 1 Reams Copier Paper Quality A4 Size (White) /- Pack of 500 Sheets (1)","B09646YMTY","UD sales","₹399.00",41,"16,359.00","9,420","₹114.41",2,"n/a","n/a",4,0,"n/a","Office Products","Standard-Oversize","FBA","3.9x4.7x3.1",0.81,"1/15/2021"
"C I - Copier Paper, 75 GSM, A4, 100 Sheets - White","B08Y6XXS4L","C I","₹120.00",75,"9,000.00","5,697","n/a",1,4.2,7,3,3,"n/a","Office Products","n/a","MFN","n/a","n/a","3/6/2021"
"TNPL COPIER PAPER 70 GSM A4 Size 500 Sheet","B07W94M2FP","TNPL COPIER PAPER","₹214.00",32,"8,000.00","8,185","₹220.66",7,4.1,61,3,7,"n/a","Office Products","Standard-Oversize","MFN","8.7x11.8x2.0",4.96,"8/7/2019"
"ABS Crown Single Side Ruled A4 Size Sheets for Project/Assignment/Practical/Homework/Exams (Pack of 100 Sheets)","B08L6QFWJX","ABS","₹195.00",185,"36,075.00",94,"₹128.15",2,4.2,227,4,51,"n/a","Office Products","Standard-Oversize","FBA","8.7x12.0x0.6",0.84,"10/14/2020"
"SNOW CRAFTS A4 Size One Side Ruled 85 GSM Sheets for Project/Assignment/Practical/Homework (Pack OF 60 Sheets)","B08CD4CMJN","SNOW CRAFTS","₹169.00",119,"20,111.00",532,"₹126.87",1,4.0,152,5,40,"n/a","Office Products","Standard-Oversize","FBA","8.2x11.8x0.5",0.66,"7/5/2020"
"JK Easy Copier Paper | A4 Size | 70 GSM | 500 Sheets | White Paper, 1 Ream | For Laserjet & Inkjet Printer | Fast Drying | Both Side Print | Eco Friendly | ColorLok (Pack of 1) | One Ream","B08XC79PVW","JK","₹302.00",56,"16,912.00","5,197","n/a",3,3.8,14,5,10,"n/a","Office Products","n/a","MFN","n/a","n/a","2/24/2021"
"JK Excel Bond - A4 Paper, 100 GSM,500 Sheets (1 Ream)!","B0963QYJ9S","Generic","₹599.00",25,"12,225.00","2,129","₹172.42",4,4.0,1,2,0,"n/a","Office Products","Standard-Oversize","FBA","1.6x2.4x0.8",1.10,"5/28/2021"
"JK Paper Excel Bond A4 100 GSM 500 Sheets (1Reams)","B07FJMHKLZ","JK Paper","₹474.00",175,"82,950.00",206,"₹254.79",20,4.2,592,1,66,"n/a","Office Products","Standard-Oversize","MFN","8.5x11.9x3.0",7.03,"7/6/2018"
"JK Copier Paper | A4 Size | 75 GSM | 500 Sheets | White Paper, 1 Ream | For Laserjet & Inkjet Printer | Fast Drying | Both Side Print | Eco Friendly | ColorLok (Pack of 10) TEN Ream","B08XC4HML2","JK","₹245.00",36,"11,124.00","1,466","n/a",2,"n/a","n/a",4,0,"n/a","Office Products","n/a","MFN","n/a","n/a","2/24/2021"
"BINDALS Copier Paper A4 paper 500 sheets 75 gsm 1 Ream","B07TVMLTT7","BINDALS","₹209.00",93,"25,482.00","2,624","n/a",18,4.0,240,4,34,"n/a","Office Products","Standard-Oversize","MFN","8.5x11.8x2.1",4.92,"7/3/2019"
"JK Copier A4 sheet 75GSM - 500 Sheets","B08CXZ8WP8","JK","₹245.00",78,"24,102.00",942,"₹212.07",10,4.5,28,1,13,"n/a","Office Products","Standard-Oversize","MFN","8.3x11.4x1.6",5.40,"4/20/2016"
"DSR 40 A4 Size Plain White Color 90 GSM Multipurpose Papers/Sheets for Inkjet/Laser/Copier Printing (A4)","B08DDDVB8N","DSR","₹95.00",76,"7,220.00","1,489","n/a",1,4.3,7,2,1,"n/a","Office Products","n/a","FBA","n/a","n/a","7/20/2020"
"Trident Spectra Spectra -75 Copier Paper, 5 cm x 22 cm x 34 cm (1 Ream / 500 sheets)","B088X1721M","Trident Spectra","₹196.00",118,"23,128.00",704,"₹215.56",17,4.1,180,3,21,"n/a","Office Products","Standard-Oversize","MFN","3.9x5.9x0.8",5.23,"5/20/2020"
"SHARMA BUSINESS™ A4 White Sheet Paper for Copy & Multipurpose Paper 75 GSM (100)","B08L1DDMNM","SHARMA BUSINESS","₹169.00",44,"7,436.00","8,202","₹185.87",1,3.4,9,1,8,"n/a","Office Products","Standard-Oversize","FBA","8.7x11.8x0.4",2.20,"10/10/2020"
"Print Pro™ 70 GSM TREE FREE Agro Pulp Based A4 Paper Multipurpose Earth-Friendly Copier Paper (10 Ream Box, 5000 sheets)","B08HN3HB1D","Print Pro","₹2,376.00",74,"173,826.00","1,130","₹782.25",1,4.3,69,6,17,"n/a","Office Products","Standard-Oversize","MFN","13.0x17.3x9.8",48.06,"9/7/2020"
"Bambalio BPG 135-50 (Classic) 135 GSM Glossy Photo Paper, A4 Size Pack Of 50 Sheets","B06ZXXN2F4","Bambalio","₹244.00",113,"27,572.00",629,"₹164.63",1,3.3,224,5,44,"Appario Retail Private Ltd","Office Products","Standard-Oversize","FBA","9.0x13.5x1.5",0.82,"4/18/2017"
"JK Excel Bond - A4, 100 Sheets, 90 GSM (Pack of 3)","B07WF2P13Z","JK","₹218.00",127,"27,686.00",395,"n/a",18,4.4,91,2,21,"n/a","Office Products","Standard-Oversize","MFN","8.7x12.3x1.9",3.90,"8/11/2019"
"ABS Brand Project Paper - Two Side Ruled File Papers (Pack of 100 Sheets)","B07CQXFD2H","ABS","₹219.00",145,"31,755.00",205,"₹130.41",2,4.4,250,7,46,"n/a","Office Products","Standard-Oversize","FBA","8.9x11.5x0.5",0.84,"4/28/2018"
"DBC Retail Pack of 100 Multipurpose A4 Copy Paper (White, 70 GSM)","B093Y95CGD","DBC Retail","₹115.00",193,"22,195.00","1,221","₹152.46",2,3.8,63,2,35,"n/a","Office Products","Standard-Oversize","MFN","8.7x11.8x0.4",0.97,"5/1/2021"
"JK Cedar A4 500 Sheets 100 GSM 1 Ream","B096F628PK","Generic","₹391.00",19,"7,429.00","2,889","₹246.95",3,"n/a","n/a",4,0,"n/a","Office Products","Standard-Oversize","MFN","8.3x12.2x2.4",6.88,"6/2/2021"
"JK Copier 75 GSM A4 500 Sheets Copier Paper Box","B07TL7F89G","JK","₹298.98",74,"22,124.52","2,293","₹170.95",9,4.1,25,3,8,"n/a","Office Products","Standard-Oversize","FBA","3.9x5.9x2.2",1.09,"12/4/2020"
"UD sales NR Copier 70 GSM 1 Reams Copier Paper Quality, A4 Size (White) - Pack of 500 Sheets","B08T7B852Z","UD sales","₹250.00",71,"17,750.00","1,829","n/a",4,3.8,24,4,11,"n/a","Office Products","n/a","MFN","n/a","n/a","1/16/2021"
