"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Yogarise Anti Skid and Durable Multicolour Yoga Mat for Home Gym and Outdoor Workout with Free Carrying Bag (Made in India)","B08KQDWSPD","YOGARISE","₹499.00","1,576","723,384.00",73,"n/a",1,4.1,1234,6,289,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","10/5/2020"
"REXERA® Yoga Mat for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Qnty.-1 Pcs.)(Black Color)","B0953BHCXP","REXERA","₹595.00",276,"164,220.00",277,"n/a",1,4.7,53,7,31,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.5x9.4x0.8",0.75,"5/17/2021"
"Effingo Yoga Mat with Bag and Carry Strap for Comfort / Anti-Skid Surface Mat for Sports, Fitness and Exercise (cherry) (4MM)","B08VHN3GS4","Effingo","₹354.00",277,"98,058.00",597,"₹153.06",1,3.9,8,5,3,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x24.4x1.6",0.88,"1/31/2021"
"Yogarise Yoga & Exercise Mat for Gym Workout and Flooring Exercise for Men and Women with Bag and Strap","B08KQGY56C","YOGARISE","₹455.00","1,321","552,178.00",221,"₹192.42",1,3.8,339,8,100,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.3x19.3x2.8",1.76,"10/2/2020"
"EFFINGO Non-Slip Surface Yoga Mat with Bag and Carry Strap for Sports, Exercise or Fitness (Red) (4MM)","B08VHP3CBL","Effingo","₹350.00",484,"169,400.00",508,"₹151.34",1,3.7,123,6,42,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x24.4x1.6",0.88,"1/31/2021"
"($) Alignment line yoga mat for men & women for home & gym exercise, meditation & pilates with carrying bag & strap, large size, 6mm extra thickness, sweat & water Resistant, anti-skid, polyester + cotton material by Famifit","B08T1K2B3B","FamiFiT","₹1,690.00",2,"3,380.00","52,793","n/a",1,"n/a","n/a",7,0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","10.2x25.9x6.5","n/a","1/12/2021"
"($) CRAFT OF INDIA Foldable Cotton Cushion Sleeping Mat (Blue, 2 X 6 fit)","B07C5Y4FS3","CRAFT OF INDIA","₹799.00","n/a","n/a","n/a","₹318.39",1,4.3,19,4,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x9.1x2.4",3.31,"4/12/2018"
"($) Boldfit Yoga Mat for Men and Women NBR Material with Carrying Strap, 1/2 Inch (10mm) Extra Thick Exercise Mats for Workout Yoga Fitness Pilates & High-Density Anti-Tear Non-Slip","B07L315ZWV","Boldfit","₹999.00","1,522","1,502,290.10",251,"₹377.02",2,3.6,1220,8,204,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","8.0x24.6x6.9",1.54,"12/2/2018"
"($) FEGSY Yoga mat for Women and Men with Cover Bag, 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Slip For Home & Gym Use","B097K9BSMN","FEGSY","₹599.00",679,"406,721.00",16,"₹221.73",1,5.0,85,6,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x19.7x3.5",1.76,"6/19/2021"
"Fitness Mantra® 6MM Anti Skid, Light Weight, Extra Large Made by EVA Quality Yoga Mat with Shoulder Strap","B08NPNQ61G","Fitness Mantra","₹385.00","1,054","405,790.00",165,"₹136.82",1,4.0,1168,8,200,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.84,"9/9/2018"
"BeFiT® Anti-Skid Yoga Mat for Gym Workout and Yoga Exercise with Carrying Strap","B08XJJFFCB","BeFit","₹449.00","1,548","772,452.00",381,"₹172.74",1,3.8,250,7,199,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.86,"2/25/2021"
"AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap","B01LP0VI3G","AmazonBasics","₹918.00","1,991","1,827,738.00",40,"₹367.65",1,4.1,10117,6,801,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.5x25.5x7.5",2.70,"2/6/2018"
"yoga and exercise mat of 4mm multicolor yoga mat for gym workout aerobics yoga mat for men and women (multicolor)","B08DRRZPMQ","XTROKE","₹399.00","1,467","585,333.00",293,"₹159.16",1,2.9,258,7,104,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","2.8x16.5x1.2",0.44,"6/16/2020"
"Ozoy 13mm Extra Thick Yoga and Exercise Mat Anti Skid with Carrying Strap for Gym Workout and Flooring Exercise With bag","B08Z451HP9","Ozoy","₹899.00","1,582","1,422,218.00",62,"n/a",2,4.1,174,6,134,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x5.9x0.8",0.55,"3/16/2021"
"Dr Trust TPE Premium Luxfoam Yoga Mat for Gym Workout and Flooring Exercise Yoga Mat for Men and Women Fitness - 317","B08D3M5DJ7","Dr Trust","₹1,299.00","1,405","1,825,095.00",234,"₹707.88",1,4.4,104,5,67,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.2x25.7x5.1",3.66,"7/16/2020"
"Fitness Mantra® Yoga Mat for Gym Workout and Yoga Exercise with Strap, Anti-Slip Yoga Mat with Strap for Men & Women Fitness (Qnty.-1 Pcs.)(with Strap)","B08K37ZFPB","Fitness Mantra","₹395.00",704,"278,080.00",128,"₹137.65",1,3.8,231,8,63,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.84,"9/8/2018"
"VIFITKIT Multicolour Yoga mat with Superior Cushioning and Sweat Free Texture with Free Carrying Bag and Strap (Made in India)","B08Q7CJJ3F","VIFITKIT","₹499.00",907,"416,313.00",250,"n/a",1,4.0,131,6,43,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","12/9/2020"
"EFFINGO Non-Slip surface Yoga Mat with Bag and Carry Strap for Exercise or Fitness (4MM)","B08W4B2LVZ","Effingo","₹351.00",200,"n/a","1,565","n/a",1,4.2,9,7,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x24.4x1.6",0.88,"2/7/2021"
"REXERA® Yoga Mat for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Qnty.-1 Pcs.)(Grey Color)","B0953D4NYG","REXERA","₹595.00",194,"115,430.00",262,"n/a",1,4.8,52,9,38,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.5x9.4x0.8",0.75,"5/17/2021"
"FEGSY Premium Yoga mat for Women and Men with Cover Bag, 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Slip For Home & Gym Use","B097RKRTBF","FEGSY","₹999.00",251,"250,749.00",726,"₹264.20",1,4.4,21,6,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x19.7x3.5",1.76,"6/23/2021"
"Mahadev Traders Anti Slip And Waterproof With Dual Side Embossed Yoga Mat For Men And Women, Boys And Girls-5MM | (Multi 32)","B096PG1XQK","Mahadev Traders","₹249.00","n/a","n/a","1,128","n/a",1,"n/a","n/a","n/a",0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","6/5/2021"
"Anurati Yoga Mat 6MM Non-Slippery Yoga Mat for Gym, Work Out, Flooring Exercise Ideal for Men and Women_Size-61 cm X173 cm Color-Blue","B096QC62GH","ANURATI","₹399.00",92,"36,708.00",977,"n/a",2,3.0,2,5,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","MFN","3.9x5.9x2.0",0.22,"6/6/2021"
